fiscal_year,fiscal_year_end,report_prepared_date,currency,unit,revenue,revenue_growth_pct,gross_profit,gross_margin_pct,operating_earnings,operating_margin_pct,normalized_operating_earnings,normalized_operating_margin_pct,ebitda,ebitda_margin_pct,normalized_ebitda,normalized_ebitda_margin_pct,net_earnings,normalized_net_earnings,diluted_eps,normalized_diluted_eps,cash_from_operating_activities,cash_and_cash_equivalents,total_assets,cash_dividends_declared_per_share,source_report,source_page
2022,2022-12-31,2023-03-08,CAD,millions except per-share,7917.9,21.1,974.8,12.3,594.8,7.5,565.1,7.1,1042.2,13.2,1014.0,12.8,426.2,400.5,6.67,6.26,,,8576.4,0.8,2022-Annual-Report.pdf,12;17
2023,2023-12-31,2024-03-06,CAD,millions except per-share,9733.5,22.9,1322.8,13.6,774.8,8.0,798.9,8.2,1285.4,13.2,1312.3,13.5,503.1,541.1,8.17,8.78,,,9850.5,0.88,2023-Annual-Report.pdf,14;19
2024,2024-12-31,2025-03-05,CAD,millions except per-share,10582.0,8.7,1504.0,14.2,611.3,5.8,943.9,8.9,1229.8,11.6,1564.7,14.8,258.3,604.4,4.19,9.81,1254.0,1054.6,10499.8,1.0,2024-Annual-Report.pdf,13;39;43
2025,2025-12-31,2026-03-04,CAD,millions except per-share,10231.8,-3.3,1517.4,14.8,892.1,8.7,933.9,9.1,1534.8,15.0,1576.6,15.4,584.5,622.1,9.73,10.36,1330.8,911.1,10891.8,1.12,2025-Annual-Report-Final.pdf,9;14;15
